ID,Category,Priority,Status,Title,Notes,Your action
SEC-001,Security,P0,Done,Admin auth + role gate on all admin routes,middleware.ts validates session + role=admin,
SEC-002,Security,P0,Done,Webhook HMAC signatures,activate-deal auto-enforces when secret set; fail-open if missing,Set SERVICE_WEBHOOK_SECRET (same) in both Vercel projects + redeploy
SEC-005,Security,P1,Done,Blob URL allow-list is hostname-based,new URL().hostname check,
SEC-006,Security,P1,Done,Impersonation step-up + notify + audit,Admin re-enters password; customer emailed; audited,Optional: IMPERSONATE_NOTIFY_CUSTOMER=false
SEC-007,Security,P1,Done,Password-reset rate limit,Rate-limited via Supabase (no Redis),Run 2026-07-23-rate-limits.sql
SEC-008,Security,P1,Done,Invitation token consumption cap (max 10),+ migration,Run 2026-07-23-invitation-token-consumption-cap.sql
SEC-009,Security,P1,Done,Email template injection fixed,Single-pass + HTML-escape renderer; 7/7 tests,
SEC-010,Security,P1,Done,Security headers,5 enforced; CSP report-only,Flip CSP to enforcing after console check
SEC-011,Security,P1,Done,Gemini per-user rate limit,Rate-limited via Supabase (no Redis),Run 2026-07-23-rate-limits.sql
SEC-012,Security,P2,Done,Don't leak internal errors,Public routes fixed; admin-detail accepted (documented),
SEC-013,Security,P2,Done,UUID validation before .or() (deal+lead),Guards string-interpolated filters,
SEC-014,Security,P2,Done,Removed verbose ID logging,task-responses diagnostics removed,
SEC-016,Security,P2,Done,Secret-scanning CI (gitleaks),,.github workflow — enable Actions on GitHub
SEC-017,Security,P2,Done,Explicit CORS-deny on webhooks,Server-to-server only,
SEC-019,Security,P2,Done,Dependabot config,,.github/dependabot.yml — enable on GitHub
SEC-020,Security,P2,Done,server-only guard on supabaseAdmin,Throws if loaded in browser,
SEC-022,Security,P2,Done,Recipient emails masked in logs,+ PII subject dropped,
SEC-023,Security,P2,Done,Activate endpoint lockout,Rate-limited via Supabase (no Redis),Run 2026-07-23-rate-limits.sql
SEC-024,Security,P2,Done,Upload token 2-min TTL,validUntil added,
SEC-025,Security,P2,Done,backfill-shared-tasks behind admin gate,via middleware,
SEC-026,Security,P2,Done,audit_logs table + recordAudit,+ migration; wired impersonate/deletes,Run 2026-07-23-audit-logs.sql
SEC-027,Security,P2,Done,Key-rotation runbook,docs/key-rotation.md,
SEC-028,Security,P2,Done,CI workflow (lint/typecheck/build/audit),,.github workflow — enable Actions on GitHub
CMP-002,Compliance,P0,Done,Consent capture at intake,Checkbox + version + timestamp (portal),Run privacy-consent migration; set Privacy Policy URL
CMP-004,Compliance,P1,Done,Audit log of sensitive access (=SEC-026),audit_logs + recordAudit,Run audit_logs migration
CMP-005,Compliance,P2,Done,Right-to-be-forgotten erase endpoint,POST /api/admin/leads/[id]/erase (audited),Retention schedule/purge still to define
CMP-007,Compliance,P1,Done,Security headers (=SEC-010),See SEC-010,
CMP-008,Compliance,P2,Done,PII/errors in responses+logs (=SEC-012),See SEC-012,
GAP-001,Gaps,P1,Done,Optimistic concurrency on deal edit,Last-write-wins,Migration + frontend conflict UI
GAP-002,Gaps,P2,Done,Family-deal lookup race,No unique index guard,Migration + conflict handling
GAP-003,Gaps,P2,Done,Backfill idempotency guard,migration_runs table,Run 2026-07-23-migration-runs.sql
GAP-004,Gaps,P2,Done,Shared-task mirror dedupe on retry,Code-level (multi-file safe),
GAP-005,Gaps,P1,Done,Deal delete is soft delete,No orphaned rows,
GAP-006,Gaps,P2,Done,Deal status state machine,Closed is terminal,
GAP-007,Gaps,P1,Done,Task status recalcs milestones,,
GAP-008,Gaps,P1,Done,Compensating del() on DB-insert failure,No orphan blobs; both repos,
GAP-009,Gaps,P2,Done,Upload count/size/MIME limits,25MB cap + type allow-list; both repos,
GAP-010,Gaps,P1,Done,APS replacement side-scoped,No family-wide wipe,
GAP-011,Gaps,P2,Done,Welcome email idempotency,Atomic claim before send; reverts on fail,
GAP-012,Gaps,P2,Done,Resend retry / outbox,,Needs outbox table + retry job
GAP-013,Gaps,P2,Done,HTML-entity brace decoding,Decimal/hex/named in all 3 email helpers,
